Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,9,0.6804,24.49,7099,0.003430,0.999853,"A1BG ANHX SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZSCAN22"
2,20,0.5233,99.43,1.592e+04,0.006193,1.00000,"A1CF AGAP5 ANXA8L1 CALHM3 CFAP70 DUPD1 DUSP13 GPRIN2 HKDC1 NUTM2A NUTM2B PTPN20 SFTPA1 SFTPA2 SYT15 UNC5B WASHC2C ZNF239 ZNF32 ZNF33B"
3,6,0.6829,10.24,4634,0.002200,0.998474,"A2M PKP2 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1"
4,5,0.6553,6.553,3725,0.001751,0.996692,"A2ML1 DUS2 NSUN2 PUS3 TRMT1"
5,58,0.4009,662.6,4.470e+04,0.01457,1.00000,"ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf23 CACNA1I CBY1 COMT CRYBA4 CRYBB1 CRYBB3 DGCR6 DGCR6L DRICH1 EMID1 FOXRED2 GAL3ST1 GSTT2B GUCD1 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 LRRC75B MIF MPPE1 MTFP1 NIPSNAP1 RFPL2 RFPL3 RGL4 SEC14L3 SEC14L4 SEC14L6 SEPT5 SGSM1 SIRPA SLC5A1 SLC5A4 SUSD2 TBC1D10A TRIOBP TST TUBA8 USP18 VPREB1 YPEL1 ZNF74"
6,15,0.6295,66.10,9788,0.006687,0.999999,"AAAS CDCA3 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 POM121 POM121C SENP2"
7,4,0.6517,3.910,3137,0.001242,0.992931,"AADAC CPA3 FGF12 TFDP2"
8,26,0.6754,219.5,1.755e+04,0.01232,1.00000,"ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
9,6,0.6800,10.20,4837,0.002099,0.998474,"AAED1 C9orf3 FBP2 GNA14 MUSK ZNF510"
10,20,0.5020,95.38,1.332e+04,0.007091,1.00000,"AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM RAB5C SH3GL1 SLC11A2 STEAP3 SYNJ1 TFRC"
11,4,0.7278,4.367,2778,0.001565,0.992931,"AAR2 CD2BP2 DDX23 NCDN"
12,12,0.6330,41.78,1.030e+04,0.004030,0.999986,"AARD C8orf76 COL14A1 FBXO32 KLHL38 MTSS1 NETO2 NOV RNF139 SLC30A8 TRMT12 ZHX2"
13,8,0.6738,18.87,5730,0.003272,0.999679,"AARS CENPT EXOSC6 NIP7 SF3B3 SLC7A6OS TANGO6 UTP4"
14,93,0.4980,2130,6.460e+04,0.03184,1.00000,"AARS2 DAP3 EARS2 FARS2 GADD45GIP1 GATB GFM1 HARS2 KIAA0391 LARS2 LRPPRC MARS2 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL53 MRPL55 MRPL57 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTG2 MTPAP NARS2 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB2M TRMT10C TRUB2 TWNK VARS2"
15,6,0.6554,9.831,3819,0.002560,0.998474,"AASDHPPT ACACA ACLY FASN GPAT4 SLC25A1"
16,10,0.6553,29.49,6835,0.004283,0.999933,"AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL19 RPL23 RPL27 ZNF830"
17,5,0.6548,6.548,4232,0.001541,0.996692,"AATK BAIAP2 PYCR1 SLC25A10 SLC38A10"
18,8,0.6725,18.83,6155,0.003042,0.999679,"ABCA2 ENTPD2 FAM69B LCN10 LCN15 LCN6 LCN8 TUBB4B"
19,10,0.6694,30.12,7105,0.004210,0.999933,"ALG14 BCAS2 CDC7 DDX20 DNTTIP2 PRPF38B RNPC3 RPAP2 RPL5 WDR3"
20,4,0.6563,3.938,3135,0.001251,0.992931,"ABCB1 RAET1G ULBP1 ULBP3"
21,6,0.6614,9.921,4837,0.002042,0.998474,"ABCB11 BBS5 CRYGA CRYGB CRYGC CRYGD"
22,18,0.5879,89.95,1.462e+04,0.006098,1.00000,"ABCB5 ADCYAP1R1 AEBP1 AGR2 AGR3 DPY19L1 GHRHR HOXA5 HOXA6 HOXA7 HOXA9 INMT KIAA0895 MTURN MYO1G NME8 NPY PRR15"
23,54,0.4594,657.4,4.146e+04,0.01557,1.00000,"ABCC6 ACSM1 ACSM3 ACSM5 AHSP BCKDK BFAR C16orf45 C16orf92 CA5A CCDC189 CLN3 DCTPP1 DOC2A FAM57B HIRIP3 HS3ST2 HSD3B7 ITGAD ITGAL ITGAM ITGAX LAT MPV17L MYH11 NOMO1 NOMO2 NPIPA5 NPIPB6 PDZD9 PKD1 PLA2G10 PYCARD SBK1 SCNN1B SCNN1G SEPT1 SLC5A2 STX1B SULT1A1 SULT1A2 SYT17 TBX6 TMC7 VKORC1 YPEL3 ZG16 ZNF688 ZNF689 ZNF747 ZNF764 ZNF771 ZNF785 ZNF843"
24,4,0.6771,4.063,3409,0.001188,0.992931,"ABCC10 HLA-DPA1 HLA-DPB1 ZNF76"
25,43,0.4628,417.9,3.491e+04,0.01180,1.00000,"ABCC11 ABCC12 ADGRG5 C16orf78 CA7 CES1 CES2 CES3 CES4A CES5A CHST5 CLEC18A CLEC18B CLEC18C CMTM1 CPNE2 CTRB1 DPEP2 DUS2 FUK GLG1 HP HSD11B2 IRX6 LCAT LDHD MMP15 MT1A MT1F MT1M MT4 MTSS1L NLRC5 NRN1L PDP2 PDPR PLA2G15 PLLP SHCBP1 TMED6 ZDHHC1 ZNF19 ZNF23"
26,26,0.5773,187.6,1.485e+04,0.01244,1.00000,"ADSL ADSS ATIC CAD CTPS1 DHFR DHODH FPGS GART GMPS IMPDH2 MTHFD1 MTR NAMPT PAICS PFAS PGM3 PPAT PPCDC RFK RPIA SDHB TFRC TKT UMPS UXS1"
27,11,0.6651,36.58,7671,0.004732,0.999969,"ABCE1 COPB2 PSMA1 PSMA2 PSMA5 PSMA6 SMU1 SNRPD1 SNU13 SRP54 VCP"
28,11,0.6852,37.69,7772,0.004812,0.999969,"ABCF1 DHX16 MRPS18B NOL7 NUP153 PPP1R10 PRPF4B RIOK1 SNRNP48 TUBB4B WDR46"
29,5,0.6547,6.547,3595,0.001813,0.996692,"ABCF2 DRG1 HSPA14 TRMT2A ZC3H15"
30,6,0.6926,10.39,4443,0.002327,0.998474,"ABCF3 NFIA NFIB NFIC NFIX PTGES3"
31,10,0.6549,29.47,6771,0.004321,0.999933,"ABCG1 DUX4 HSPE1 OR2A25 RPL12 RPL17 RPL37 RPL4 RPLP2 RPS13"
32,16,0.4496,53.96,1.204e+04,0.004449,0.999999,"ADAMTSL5 CCDC73 CYBC1 DDC DEF8 FDX1 KCNK13 NAT8L RDH10 RPH3A SELE SLC5A12 TNFRSF19 TRAK1 UCKL1 WNT8A"
33,13,0.6547,51.07,1.000e+04,0.005066,0.999993,"ABHD11 ASL CASTOR3 CLDN3 CYP3A5 GNAT3 GUSB TRIM50 TYW1 ZNF679 ZNF727 ZNF736 ZNF92"
34,20,0.6024,114.5,1.559e+04,0.007269,1.00000,"ABHD12 ACSS1 APMAP CST1 CST11 CST2 CST3 CST4 CST5 CST7 CST8 CST9 CST9L CSTL1 GGTLC1 NANP NAPB NINL PCSK2 ZNF337"
35,21,0.4821,101.2,1.653e+04,0.006073,1.00000,"ABHD14A ABHD14B CACNA2D2 CAMP CCR9 DNAH1 GLYCTK GNAT1 IQCF1 IQCF2 IQCF3 IQCF5 ITIH3 ITIH4 KRBOX1 MUSTN1 NISCH NT5DC2 SEMA3G TLR9 ZNF502"
36,4,0.6585,3.951,3084,0.001276,0.992931,"ABHD16A HSPA1L LY6G6F MSH5"
37,12,0.6531,43.10,9285,0.004609,0.999986,"BICDL2 CLDN6 CLDN9 CLUAP1 CORO7 HAGH HMOX2 OR1F1 PAQR4 PRSS21 ZNF213 ZNF500"
38,15,0.5758,60.46,1.208e+04,0.004966,0.999999,"ABHD3 B4GALT6 CELF4 CHST9 CTIF DSC1 DSG1 DSG3 DSG4 HRH4 KIAA1328 MAPRE2 SERPINB7 ZNF396 ZNF397"
39,4,0.7854,4.713,3129,0.001500,0.992931,"ABHD5 BLCAP MARCH6 TMX1"
40,16,0.6214,74.56,1.036e+04,0.007126,0.999999,"ABI1 ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 BRK1 COMMD3 COMMD8 NCKAP1 RAC1 WASF2 WASHC3 WASHC4 WASHC5 WASL"
41,7,0.6595,13.85,4884,0.002819,0.999299,"ABL1 BCR GAB2 LMO2 PTPN1 QRFP SOS1"
42,11,0.6170,33.93,8396,0.004015,0.999969,"ANO1 CPT1A FGF19 FGF4 GAL IGHMBP2 MRGPRD MRGPRF MYEOV TESMIN ZNF20"
43,10,0.6704,30.17,7590,0.003949,0.999933,"CLDN6 CLDN9 CORO7 OR1F1 OR2C1 PAQR4 PRSS21 PRSS27 ZNF213 ZSCAN10"
44,5,0.6627,6.627,4035,0.001636,0.996692,"ABR FAM57A OR3A1 P2RX5 TNFSF12"
45,16,0.9543,114.5,1.022e+04,0.01105,0.999999,"ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 SCP2"
46,57,0.6344,1012,3.814e+04,0.02578,1.00000,"ACAD9 COA6 COA7 COQ2 COQ4 COQ7 COX4I1 COX7C CYC1 DMAC1 ECSIT FASTKD5 FOXRED1 GRSF1 NDUFA10 NDUFA11 NDUFA2 NDUFA3 NDUFA5 NDUFA6 NDUFA8 NDUFA9 NDUFAF1 NDUFAF3 NDUFAF4 NDUFAF6 NDUFAF7 NDUFAF8 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB5 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NFU1 NUBPL PDSS2 PET117 PYURF RTN4IP1 TIMMDC1 UQCR10 UQCRC1 UQCRC2"
47,4,0.6512,3.907,3480,0.001119,0.992931,"ACADM BSDC1 C1QB TSSK3"
48,14,0.6599,60.05,1.126e+04,0.005294,0.999997,"ADCYAP1R1 AEBP1 AGR2 AGR3 GHRHR HOXA5 HOXA6 HOXA7 HOXA9 KIAA0895 NME8 RBAK RSPH10B2 ZNF12"
49,17,0.6544,89.00,1.363e+04,0.006471,1.00000,"ACADVL ALDH3A1 ALOX15 ALOXE3 ASGR2 CCDC144A MFSD6L MYH2 MYH4 MYH8 SAT2 SHBG SLC2A4 TMEM256 TNFSF12 TNFSF13 VAMP2"
50,7,0.6658,13.98,5232,0.002658,0.999299,"ACAP1 OR1A1 OR1D5 OR1E2 OR3A1 OVCA2 P2RX1"
51,7,0.6860,14.41,4742,0.003020,0.999299,"ACAP2 ARF6 RAB35 RAB8A RABIF SBF1 SBF2"
52,9,0.6564,23.63,6110,0.003841,0.999853,"ACAT2 FDFT1 FDPS HSD17B7 LSS MSMO1 MVD SC5D SQLE"
53,11,0.6585,36.22,7504,0.004789,0.999969,"AFDN CDH1 CDH2 CTNNA1 CTNND1 F11R PARD3 PARD6B TAX1BP3 TJP1 TP53BP2"
54,13,0.6412,50.02,9449,0.005251,0.999993,"ACCS ACCSL ANO3 CHRM4 CRY2 MRGPRX3 OR4A47 OR4B1 OR4C12 OR4C13 OR4C3 OR4C46 OR4X1"
55,12,0.6587,43.47,9446,0.004570,0.999986,"ACE EPX HOXB9 LPO MKS1 MPO NME1 OR4D1 OR4D2 PLEKHM1 RSAD1 SEPT4"
