Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,8,0.7404,20.73,6298,0.003273,0.999679,"A1BG SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZSCAN22"
2,10,0.7051,31.73,7901,0.003990,0.999933,"A1CF DUPD1 DUSP13 GPRIN2 NUTM2A NUTM2B PTPN20 SFTPA1 SFTPA2 ZNF239"
3,5,0.7651,7.651,3856,0.001975,0.996692,"A2M SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1"
4,4,0.7138,4.283,3029,0.001408,0.992931,"A2ML1 DUS2 PUS3 TRMT1"
5,44,0.4566,432.0,3.424e+04,0.01243,1.00000,"APOBEC3A APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf23 CACNA1I CRYBA4 CRYBB1 CRYBB3 CYTH4 DGCR6 DGCR6L DRICH1 EMID1 FOXRED2 GAL3ST1 GSTT2B HORMAD2 HPS1 IGLL1 MGAT3 MIF MPPE1 RASD2 RFPL2 RFPL3 RNF215 SEC14L3 SEC14L4 SEC14L6 SEPT5 SLC5A1 SLC5A4 TBC1D10A USP18 VPREB1 YPEL1 ZNF74"
6,13,0.6926,54.02,8405,0.006367,0.999993,"AAAS CDCA3 KPNA2 NDC1 NUP153 NUP188 NUP35 NUP37 NUP43 NUP50 POM121 POM121C SENP2"
7,25,0.7010,210.3,1.681e+04,0.01232,1.00000,"ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
8,5,0.7372,7.372,4054,0.001811,0.996692,"AAED1 FBP2 GNA14 MUSK ZNF510"
9,15,0.6171,64.80,9706,0.006611,0.999999,"AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 PICALM SLC11A2 TFRC"
10,4,0.7278,4.367,2778,0.001565,0.992931,"AAR2 CD2BP2 DDX23 NCDN"
11,10,0.7176,32.29,8724,0.003679,0.999933,"AARD C8orf76 COL14A1 FBXO32 KLHL38 MTSS1 NOV RNF139 SLC30A8 ZHX2"
12,7,0.7176,15.07,4975,0.003011,0.999299,"AARS EXOSC6 NIP7 SF3B3 SLC7A6OS TANGO6 UTP4"
13,88,0.5206,1993,6.119e+04,0.03145,1.00000,"AARS2 DAP3 EARS2 FARS2 GADD45GIP1 GATB GFM1 HARS2 KIAA0391 LARS2 LRPPRC MARS2 MRPL10 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL28 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL53 MRPL55 MRPL57 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTG2 MTPAP NARS2 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFB2M TRMT10C TRUB2 TWNK VARS2"
14,5,0.7408,7.408,3163,0.002329,0.996692,"AASDHPPT ACACA ACLY FASN SLC25A1"
15,8,0.7187,20.12,5442,0.003673,0.999679,"AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL19 ZNF830"
16,4,0.7455,4.473,3350,0.001330,0.992931,"AATK BAIAP2 PYCR1 SLC25A10"
17,7,0.7320,15.37,5574,0.002743,0.999299,"ABCA2 ENTPD2 FAM69B LCN10 LCN15 LCN6 LCN8"
18,9,0.7219,25.99,6431,0.004014,0.999853,"ALG14 BCAS2 CDC7 DDX20 DNTTIP2 RNPC3 RPAP2 RPL5 WDR3"
19,5,0.7570,7.570,4021,0.001874,0.996692,"ABCB11 CRYGA CRYGB CRYGC CRYGD"
20,13,0.7007,54.65,1.044e+04,0.005195,0.999993,"ABCB5 ADCYAP1R1 AGR2 AGR3 GHRHR HOXA5 HOXA6 HOXA7 HOXA9 INMT KIAA0895 NME8 NPY"
21,22,0.6877,158.9,1.662e+04,0.009441,1.00000,"ABCC6 ACSM3 ACSM5 C16orf45 CA5A ITGAD ITGAL ITGAX MPV17L NOMO2 NPIPA5 NPIPB6 PKD1 PLA2G10 SCNN1B SEPT1 STX1B SULT1A1 SULT1A2 VKORC1 ZNF747 ZNF785"
