Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,11,0.5908,32.49,8599,0.003755,0.999969,"A1BG ACR ANHX MZF1 SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZSCAN22"
2,23,0.4900,124.0,1.838e+04,0.006683,1.00000,"A1CF AGAP5 AGAP9 ANXA8L1 CALHM3 CFAP70 DUPD1 DUSP13 GPRIN2 HKDC1 IFIT1B NUTM2A NUTM2B PTPN20 SFTPA1 SFTPA2 SYNPO2L SYT15 UNC5B WASHC2C ZNF239 ZNF32 ZNF33B"
3,8,0.6041,16.91,6174,0.002725,0.999679,"A2M CLEC6A GYS2 PKP2 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1"
4,7,0.6371,13.38,4921,0.002704,0.999299,"DUS2 METTL1 NSUN2 PUS3 THUMPD1 TRMT1 XPOT"
5,80,0.3310,1046,6.127e+04,0.01675,1.00000,"ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 CACNA1I CBY1 CCDC116 CCDC157 COMT CRYBA4 CRYBB1 CRYBB3 CYTH4 DGCR6 DGCR6L DRICH1 EMID1 FOXRED2 GAL3ST1 GGT1 GGTLC2 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 LRRC75B MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NIPSNAP1 RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF215 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SEPT5 SGSM1 SIRPA SLC5A1 SLC5A4 SPECC1L SUSD2 TBC1D10A TOP3B TPST2 TRIOBP TSSK2 TST TUBA8 UPB1 USP18 VPREB1 YPEL1 ZDHHC8 ZNF74"
6,18,0.5551,84.93,1.182e+04,0.007111,1.00000,"AAAS AHCTF1 CDCA3 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201"
7,4,0.6163,3.698,3353,0.001099,0.992931,"AACS ADAMTS3 DISP1 TRAFD1"
8,4,0.6517,3.910,3137,0.001242,0.992931,"AADAC CPA3 FGF12 TFDP2"
9,26,0.6754,219.5,1.755e+04,0.01232,1.00000,"ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
10,8,0.6176,17.29,6370,0.002701,0.999679,"AAED1 C9orf3 FBP1 FBP2 GNA14 MUSK ZNF510 ZNF782"
11,18,0.5493,84.05,1.195e+04,0.006962,1.00000,"AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM RAB5C SH3GL1 SYNJ1 TFRC"
