Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,5,0.9503,9.503,3184,0.002966,0.996692,"AAAS NDC1 NUP188 NUP35 NUP37"
2,11,0.9531,52.42,7510,0.006912,0.999969,"COMMD2 COMMD3 COMMD7 COMMD8 LZIC RAB21 VPS26C VPS35L WASHC3 WASHC4 WASHC5"
3,5,0.9727,9.727,2957,0.003268,0.996692,"AAGAB AP2M1 AP2S1 FCHO2 TFRC"
4,4,0.9813,5.888,3425,0.001712,0.992931,"AARD C8orf76 NOV ZHX2"
5,11,0.9503,52.26,7661,0.006757,0.999969,"AARS2 EARS2 GATB HARS2 KIAA0391 LARS2 MARS2 POLG QRSL1 TFB2M TWNK"
6,4,0.9563,5.738,3381,0.001690,0.992931,"ABCB5 AGR3 GHRHR NME8"
7,4,0.9533,5.720,3095,0.001840,0.992931,"ABCC11 ABCC12 CES1 IRX6"
8,5,0.9538,9.538,3781,0.002510,0.996692,"ABCC6 NOMO2 NPIPA5 PKD1 SCNN1B"
9,4,0.9631,5.779,2831,0.002031,0.992931,"ABCF1 MRPS18B PPP1R10 TUBB4B"
10,4,0.9635,5.781,3210,0.001793,0.992931,"ABHD12 APMAP CST9 ZNF337"
11,8,0.9628,26.96,5169,0.005173,0.999679,"ABI1 ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 BRK1 NCKAP1"
12,41,0.8196,672.0,2.760e+04,0.02370,1.00000,"ACAD9 COQ7 CYC1 DMAC1 ECSIT FASTKD5 FOXRED1 NDUFA10 NDUFA11 NDUFA2 NDUFA3 NDUFA5 NDUFA6 NDUFA8 NDUFA9 NDUFAF1 NDUFAF3 NDUFAF4 NDUFAF7 NDUFAF8 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB5 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NUBPL TIMMDC1"
13,4,0.9717,5.830,3203,0.001812,0.992931,"AGR3 GHRHR RBAK RSPH10B2"
14,6,0.9565,14.35,4017,0.003548,0.998474,"ACAT2 FDFT1 FDPS LSS MSMO1 SQLE"
15,16,0.9543,114.5,1.022e+04,0.01105,0.999999,"ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 SCP2"
16,4,0.9508,5.705,2782,0.002041,0.992931,"AFDN CTNNA1 CTNND1 TAX1BP3"
17,4,0.9729,5.837,2914,0.001994,0.992931,"ACCS ACCSL CRY2 OR4B1"
18,4,0.9520,5.712,2984,0.001905,0.992931,"ABCC6 ACSM1 ACSM5 NOMO2"
19,4,0.9609,5.765,3163,0.001815,0.992931,"ACVRL1 AQP5 KRT1 KRT86"
20,9,0.9585,34.51,7418,0.004619,0.999853,"ADAM2 ADAM32 ADRB3 AP3M2 CHRNA6 CHRNB3 DKK4 NKX6-3 RNF5"
21,5,0.9550,9.550,4164,0.002283,0.996692,"ALDH3A1 ALOX15B MYH4 SHBG TNFSF12"
22,5,0.9754,9.754,4006,0.002423,0.996692,"ADCYAP1R1 AGR2 AGR3 GHRHR HOXA9"
23,4,0.9577,5.746,3439,0.001664,0.992931,"ADGRG3 CES4A PLA2G15 TMED6"
24,4,0.9510,5.706,2923,0.001943,0.992931,"ADGRG7 OR5H1 OR5K1 OR5K3"
25,4,0.9507,5.704,2558,0.002218,0.992931,"ADPGK NFE2L2 SUCO TAPT1"
26,4,0.9625,5.775,2118,0.002709,0.992931,"ADSL GMPS TFRC YRDC"
27,9,0.9643,34.71,5149,0.006674,0.999853,"ADSL ADSS ATIC GART GMPS MTHFD1 PAICS PFAS PPAT"
28,4,0.9696,5.817,3238,0.001789,0.992931,"AEBP1 NUPR2 PSPH ZNF713"
29,4,1.000,6.000,2913,0.002050,0.993495,"AFTPH AP1G1 AP1M1 HEATR5B"
30,4,0.9752,5.851,3065,0.001901,0.992931,"AGAP5 GPRIN2 NUTM2A WASHC2C"
31,7,0.9757,20.49,4659,0.004366,0.999299,"AAGAB AGFG1 AP2A1 AP2B1 AP2S1 CCDC32 FCHO2"
32,4,0.9521,5.712,3120,0.001823,0.992931,"AGO1 AGO3 AGO4 GJB4"
33,5,0.9552,9.552,3225,0.002944,0.996692,"AGO2 ANKRD52 DICER1 DROSHA XPO5"
34,6,0.9513,14.27,4239,0.003346,0.998474,"AGPS FAR1 PEX19 PEX7 SELENOI TMEM189"
35,5,0.9747,9.747,3376,0.002870,0.996692,"AHCTF1 NUP133 NUP153 NUP160 NUP37"
36,4,1.000,6.000,2537,0.002352,0.992931,"AHCYL1 MAPK6 MAPKAPK5 SLC4A7"
37,6,0.9557,14.34,3609,0.003943,0.998474,"CRKL ILK LIMS1 PTK2 PXN RAC1"
38,4,0.9978,5.987,2386,0.002495,0.992931,"ATM MDM2 PPM1D TP53"
39,4,0.9999,5.999,2832,0.002108,0.992931,"AKIP1 POC1A POC1B POC5"
40,6,0.9628,14.44,4137,0.003469,0.998474,"AFDN CTNNA1 F11R PARD6B TJP1 TP53BP2"
41,5,0.9926,9.926,3132,0.003149,0.997090,"AKT1 MAPKAP1 MLST8 PDPK1 RICTOR"
42,4,1.000,6.000,2490,0.002396,0.992931,"AKT2 MAPKAP1 MLST8 RICTOR"
43,6,0.9759,14.64,4056,0.003585,0.998474,"ALAD GCLC GSS PPCDC PPCS TPK1"
44,5,0.9855,9.855,3192,0.003068,0.996692,"ALDOA GAPDH PGAM1 PKM TPI1"
45,4,0.9562,5.737,2568,0.002223,0.992931,"ALG1 ALG2 DPAGT1 HYOU1"
46,12,0.9605,63.39,7598,0.008249,0.999986,"ALG12 ALG3 ALG5 ALG6 ALG8 ALG9 DOLPP1 DPM1 DPM2 DPM3 MPDU1 SEC63"
47,9,0.9980,35.93,5745,0.006196,0.999857,"ALKBH8 CTU1 CTU2 DPH3 ELP5 ELP6 MOCS3 NR2C2AP URM1"
48,5,0.9545,9.545,3979,0.002387,0.996692,"ALOX12B ALOXE3 MYH4 TNFSF12 TNFSF13"
49,5,0.9680,9.680,3191,0.003015,0.996692,"AMOTL2 KIRREL1 LATS2 NF2 RNF146"
