Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,14,0.5014,45.62,1.088e+04,0.004164,0.999997,"A1BG ACR ANHX MZF1 PGBD2 RABL2B SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZNF891 ZSCAN22"
2,47,0.3075,332.4,3.733e+04,0.008806,1.00000,"A1CF AGAP5 AGAP6 AGAP9 ANK3 ANXA8L1 CALHM3 CFAP70 COMTD1 CXCL12 CYP2C19 CYP2C8 CYP2C9 DKK1 DUPD1 DUSP13 FAM25A GDF2 GPRIN2 HKDC1 IFIT1 IFIT1B IFIT2 IFIT5 LIPA LIPJ LRRC18 NUTM2A NUTM2B PTPN20 RET SAMD8 SFTPA1 SFTPA2 SHLD2 SORCS1 SYNPO2L SYT15 TMEM72 UNC5B WASHC2C ZNF22 ZNF239 ZNF32 ZNF33B ZNF37A ZNF485"
3,15,0.5026,52.77,1.170e+04,0.004477,0.999999,"A2M CLEC12B CLEC2B CLEC4D CLEC6A GALNT8 GYS2 KCNA6 KLRC1 PKP2 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 TAS2R20"
4,9,0.5168,18.60,6111,0.003027,0.999853,"CTU2 DUS2 METTL1 NR2C2AP NSUN2 PUS3 THUMPD1 TRMT1 XPOT"
5,5,0.5120,5.120,3794,0.001344,0.996692,"A3GALT2 DIS3L2 HBS1L NYAP1 TUT7"
6,85,0.3195,1141,6.514e+04,0.01717,1.00000,"ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 CACNA1I CBY1 CCDC116 CCDC157 COMT CRYBA4 CRYBB1 CRYBB2 CRYBB3 CYTH4 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FOXRED2 GAL3ST1 GGT1 GGTLC2 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 LRRC75B MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NIPSNAP1 RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF215 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SEPT5 SGSM1 SIRPA SLC5A1 SLC5A4 SPECC1L SUSD2 SYNGR1 TBC1D10A TCN2 TOP3B TPST2 TRIOBP TSSK2 TST TUBA8 UPB1 USP18 VPREB1 YPEL1 ZDHHC8 ZNF74"
7,4,0.5279,3.167,3187,0.0009905,0.992931,"A4GNT CASR IFT80 KATNAL2"
8,19,0.5355,91.57,1.256e+04,0.007215,1.00000,"AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201"
9,5,0.5686,5.686,4194,0.001351,0.996692,"AACS ADAMTS3 DISP1 GNG4 TRAFD1"
10,11,0.5294,29.12,8847,0.003273,0.999969,"AADAC ARHGEF26 CPA3 CPB1 GPR87 P2RY14 PLSCR1 PLSCR2 TFDP2 TM4SF18 TM4SF4"
11,5,0.5016,5.016,3956,0.001263,0.996692,"AADACL2 ARGFX C6orf48 SAYSD1 TAP2"
12,4,0.5463,3.278,3178,0.001028,0.992931,"AADACL3 C11orf52 C1QB WDTC1"
13,26,0.6754,219.5,1.755e+04,0.01232,1.00000,"ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
14,12,0.5154,34.02,9445,0.003579,0.999986,"AAED1 C9orf3 C9orf47 FBP1 FBP2 GNA14 MUSK NUTM2G TXNDC8 ZNF484 ZNF510 ZNF782"
15,19,0.5231,89.45,1.234e+04,0.007173,1.00000,"AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM PPP6C RAB5C RALGAPB SH3GL1 TFRC"
16,5,0.5012,5.012,3670,0.001360,0.996692,"AAK1 EIF3D THOC5 TOMM20 TOMM22"
17,4,0.5322,3.193,3342,0.0009524,0.992931,"AAMDC CCPG1 CFAP126 SGTB"
18,5,0.5155,5.155,3392,0.001513,0.996692,"AAMP CHMP7 LEMD2 PDE2A ZNF574"
19,5,0.5033,5.033,4226,0.001187,0.996692,"AANAT EBPL NT5C RHBDF2 SNED1"
20,7,0.5334,11.20,4516,0.002467,0.999299,"AAR2 CD2BP2 DDX23 EAF1 ICE2 NCDN USPL1"
21,20,0.4319,82.06,1.688e+04,0.004827,1.00000,"AARD C8orf76 COL14A1 COLEC10 ENPP2 FAM83A FBXO32 GNPNAT1 GSDMC KLHL38 MTSS1 NETO2 NOV RGS22 RNF139 SLC22A4 SLC30A8 TRMT12 WDYHV1 ZHX2"
22,17,0.5080,69.09,1.206e+04,0.005683,1.00000,"AARS CDT1 CENPT CFDP1 CIAPIN1 EXOSC6 GINS2 GINS3 KARS NIP7 NUP93 ORC6 SF3B3 SLC7A6OS TANGO6 UTP4 ZC3H18"
23,101,0.4645,2346,7.021e+04,0.03224,1.00000,"AARS2 DAP3 EARS2 FARS2 GADD45GIP1 GATB GATC GFM1 HARS2 KIAA0391 LARS2 LRPPRC MARS2 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL51 MRPL53 MRPL54 MRPL55 MRPL57 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS31 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTG2 MTPAP NARS2 NSUN4 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB1M TFB2M TRMT10C TRUB2 TWNK VARS2"
24,4,0.5275,3.165,2980,0.001058,0.992931,"AARSD1 CALCA GLTPD2 IGSF22"
25,4,0.5908,3.545,3217,0.001098,0.992931,"AASDH CDK20 COBL TSPAN33"
26,9,0.5408,19.47,5873,0.003294,0.999853,"ACACA ACLY CHP1 FASN GPAT4 GPI SLC25A1 TMEM120B VKORC1L1"
27,14,0.5152,46.89,9615,0.004839,0.999997,"AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL17 RPL18 RPL18A RPL19 RPL23 RPL23A RPL27 ZNF830"
28,9,0.5008,18.03,7514,0.002388,0.999853,"AATK BAIAP2 DCXR LRRC45 PYCR1 RAC3 RFNG SLC25A10 SLC38A10"
29,5,0.5095,5.095,3874,0.001310,0.996692,"ABCA1 KIF12 PIP5KL1 SYT6 TOR1B"
30,4,0.5660,3.396,3238,0.001045,0.992931,"ABCA10 LAPTM5 NGFR ZNF609"
31,4,0.5039,3.023,3046,0.0009891,0.992931,"ABCA12 CSRP2 JAG1 NRARP"
32,4,0.5610,3.366,3204,0.001047,0.992931,"ABCA13 CAPN12 PI16 PRAM1"
33,17,0.4533,61.65,1.382e+04,0.004432,1.00000,"ABCA2 AK8 ARRDC1 DPP7 ENTPD2 FAM69B GLT6D1 LCN10 LCN15 LCN6 LCN8 LHX3 NPDC1 PHPT1 RNF224 SARDH TUBB4B"
