Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,6,0.9954,14.93,4203,0.003529,0.998474,"COMMD3 COMMD7 LZIC RAB21 VPS26C VPS35L"
2,6,0.9998,15.00,3776,0.003944,0.998474,"AAGAB AP2B1 AP2M1 AP2S1 CCDC32 FCHO2"
3,8,0.9962,27.89,5546,0.004990,0.999679,"AARS2 EARS2 GATB KIAA0391 LARS2 MARS2 POLG TWNK"
4,4,0.9983,5.990,2988,0.001996,0.992931,"ABCC6 NOMO2 NPIPA5 PKD1"
5,5,0.9936,9.936,3237,0.003051,0.996692,"ABI1 ACTR3 ARPC2 ARPC4 NCKAP1"
6,31,0.9735,452.7,2.063e+04,0.02141,1.00000,"ACAD9 ECSIT FOXRED1 NDUFA10 NDUFA11 NDUFA2 NDUFA6 NDUFA8 NDUFAF1 NDUFAF3 NDUFAF4 NDUFAF7 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB5 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS5 NDUFS7 NDUFS8 NDUFV1 NDUFV2 TIMMDC1"
7,5,0.9983,9.983,3340,0.002972,0.996692,"ACAT2 FDFT1 FDPS LSS SQLE"
8,15,0.9996,105.0,9497,0.01090,0.999999,"ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 SCP2"
9,8,0.9921,27.78,5127,0.005372,0.999679,"ACTR2 ACTR3 ARPC3 ARPC4 COMMD3 WASHC3 WASHC4 WASHC5"
10,6,0.9964,14.95,4866,0.003055,0.998474,"ADAM2 ADAM32 AP3M2 CHRNA6 CHRNB3 DKK4"
11,4,0.9984,5.990,3203,0.001862,0.992931,"ADCYAP1R1 AGR2 AGR3 GHRHR"
12,6,0.9910,14.86,5042,0.002932,0.998474,"ADAM2 ADAM32 ADRB3 AP3M2 CHRNA6 RNF5"
