Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,4,0.9377,5.626,3138,0.001785,0.992931,"A1BG SLC27A5 ZBTB45 ZNF324"
2,6,0.9091,13.64,3898,0.003476,0.998474,"AAAS NDC1 NUP188 NUP35 NUP37 POM121C"
3,16,0.9039,108.5,1.080e+04,0.009912,0.999999,"COMMD10 COMMD2 COMMD3 COMMD4 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A VPS26C VPS29 VPS35L WASHC3 WASHC4 WASHC5"
4,7,0.9109,19.13,4297,0.004417,0.999299,"AAGAB AP2B1 AP2M1 AP2S1 CCDC32 FCHO2 TFRC"
5,4,0.9813,5.888,3425,0.001712,0.992931,"AARD C8orf76 NOV ZHX2"
6,19,0.9007,154.0,1.345e+04,0.01129,1.00000,"AARS2 EARS2 FARS2 GATB HARS2 KIAA0391 LARS2 MARS2 MRPL21 MRPL23 MRPS14 MRPS6 MTG2 POLG QRSL1 SARS2 TARS2 TFB2M TWNK"
7,4,0.9097,5.458,2798,0.001942,0.992931,"AATF CDC6 DHX8 ZNF830"
8,5,0.9368,9.368,4162,0.002241,0.996692,"ABCB5 ADCYAP1R1 AGR3 GHRHR NME8"
9,6,0.9026,13.54,4641,0.002901,0.998474,"ABCC11 ABCC12 CES1 CES5A IRX6 MT1F"
10,6,0.9180,13.77,4569,0.002997,0.998474,"ABCC6 C16orf45 NOMO2 NPIPA5 PKD1 SCNN1B"
11,4,0.9631,5.779,2831,0.002031,0.992931,"ABCF1 MRPS18B PPP1R10 TUBB4B"
12,9,0.9138,32.90,7019,0.004653,0.999853,"ABHD12 APMAP CST1 CST2 CST3 CST5 CST8 CST9 ZNF337"
13,4,0.9118,5.471,3206,0.001699,0.992931,"ABHD14A GNAT1 ITIH3 TLR9"
14,9,0.9109,32.79,5825,0.005581,0.999853,"ABI1 ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 BRK1 NCKAP1 WASF2"
15,4,0.9287,5.572,2440,0.002271,0.992931,"ACACA ACLY FASN SLC25A1"
16,43,0.8007,723.0,2.884e+04,0.02439,1.00000,"ACAD9 COQ7 CYC1 DMAC1 ECSIT FOXRED1 GRSF1 NDUFA10 NDUFA11 NDUFA2 NDUFA3 NDUFA5 NDUFA6 NDUFA8 NDUFA9 NDUFAF1 NDUFAF3 NDUFAF4 NDUFAF7 NDUFAF8 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB5 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NUBPL PET117 TIMMDC1 UQCRC2"
17,5,0.9477,9.477,3962,0.002380,0.996692,"AGR3 GHRHR RBAK RSPH10B2 ZNF12"
18,4,0.9196,5.518,2669,0.002057,0.992931,"ACAP2 ARF6 RAB35 SBF1"
19,6,0.9565,14.35,4017,0.003548,0.998474,"ACAT2 FDFT1 FDPS LSS MSMO1 SQLE"
20,16,0.9543,114.5,1.022e+04,0.01105,0.999999,"ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 SCP2"
21,4,0.9508,5.705,2782,0.002041,0.992931,"AFDN CTNNA1 CTNND1 TAX1BP3"
22,4,0.9729,5.837,2914,0.001994,0.992931,"ACCS ACCSL CRY2 OR4B1"
23,5,0.9056,9.056,2745,0.003277,0.996692,"ACSL3 C12orf49 MBTPS1 SCAP SREBF1"
