Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,5,0.8670,8.670,3902,0.002212,0.996692,"A1BG SLC27A5 ZBTB45 ZNF132 ZNF324"
2,4,0.8583,5.150,3351,0.001531,0.992931,"A4GALT ARHGAP8 FOXRED2 RFPL3"
3,7,0.8817,18.52,4522,0.004065,0.999299,"AAAS CDCA3 NDC1 NUP188 NUP35 NUP37 POM121C"
4,22,0.7723,178.4,1.502e+04,0.01170,1.00000,"ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
5,9,0.8559,30.81,5742,0.005321,0.999853,"AAGAB AP2A1 AP2B1 AP2M1 AP2S1 CCDC32 FCHO2 PICALM TFRC"
6,6,0.8611,12.92,5216,0.002465,0.998474,"AARD C8orf76 MTSS1 NOV SLC30A8 ZHX2"
7,31,0.8251,383.7,2.203e+04,0.01707,1.00000,"AARS2 DAP3 EARS2 FARS2 GATB GFM1 HARS2 KIAA0391 LARS2 MARS2 MRPL14 MRPL15 MRPL20 MRPL21 MRPL23 MRPL39 MRPL43 MRPL47 MRPS14 MRPS24 MRPS25 MRPS6 MTG2 MTPAP POLG QRSL1 SARS2 TARS2 TFB2M TWNK VARS2"
8,6,0.8544,12.82,4119,0.003093,0.998474,"AATF CDC6 DHX8 PSMD11 PSMD3 ZNF830"
9,4,0.8505,5.103,3211,0.001583,0.992931,"ABCA2 ENTPD2 FAM69B LCN6"
10,7,0.8536,17.93,5728,0.003112,0.999299,"ABCB5 ADCYAP1R1 AGR2 AGR3 GHRHR HOXA9 NME8"
11,8,0.8602,24.08,6240,0.003835,0.999679,"ABCC11 ABCC12 CES1 CES3 CES5A IRX6 MT1F MT4"
12,8,0.8563,23.98,6034,0.003947,0.999679,"ABCC6 ACSM3 C16orf45 NOMO2 NPIPA5 NPIPB6 PKD1 SCNN1B"
13,4,0.8649,5.189,2716,0.001902,0.992931,"ABCD4 ATIC MMACHC MTR"
14,5,0.8620,8.620,3421,0.002506,0.996692,"ABCE1 PSMA1 PSMA2 PSMA6 SMU1"
15,5,0.8771,8.771,3578,0.002439,0.996692,"ABCF1 DHX16 MRPS18B PPP1R10 TUBB4B"
16,4,0.8643,5.186,2993,0.001725,0.992931,"ABCF3 NFIA NFIB NFIC"
17,4,0.8837,5.302,2811,0.001877,0.992931,"ABCG1 OR2A25 RPL37 RPS13"
18,4,0.8830,5.298,3050,0.001730,0.992931,"ABHD11 ASL CASTOR3 CLDN3"
19,12,0.8437,55.68,9231,0.005981,0.999986,"ABHD12 APMAP CST1 CST11 CST2 CST3 CST4 CST5 CST7 CST8 CST9 ZNF337"
20,8,0.8541,23.91,6316,0.003762,0.999679,"ABHD14A GNAT1 IQCF3 IQCF5 ITIH3 ITIH4 MUSTN1 TLR9"
21,9,0.8607,30.98,7004,0.004393,0.999853,"ABHD14B IQCF1 IQCF2 IQCF3 IQCF5 ITIH3 ITIH4 MUSTN1 TLR9"
22,5,0.8554,8.554,3949,0.002156,0.996692,"ABHD3 DSG1 DSG3 DSG4 ZNF396"
23,9,0.9109,32.79,5825,0.005581,0.999853,"ABI1 ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 BRK1 NCKAP1 WASF2"
24,4,0.8816,5.290,2909,0.001810,0.992931,"ABL1 BCR PTPN1 QRFP"
25,16,0.9543,114.5,1.022e+04,0.01105,0.999999,"ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 SCP2"
26,4,0.9287,5.572,2440,0.002271,0.992931,"ACACA ACLY FASN SLC25A1"
27,44,0.7848,742.4,2.948e+04,0.02449,1.00000,"ACAD9 COQ7 COX4I1 CYC1 DMAC1 ECSIT FOXRED1 GRSF1 NDUFA10 NDUFA11 NDUFA2 NDUFA3 NDUFA5 NDUFA6 NDUFA8 NDUFA9 NDUFAF1 NDUFAF3 NDUFAF4 NDUFAF7 NDUFAF8 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB5 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NUBPL PET117 TIMMDC1 UQCRC2"
28,6,0.8703,13.05,4744,0.002737,0.998474,"AGR3 GHRHR HOXA7 RBAK RSPH10B2 ZNF12"
29,5,0.8712,8.712,3397,0.002551,0.996692,"ACAP2 ARF6 RAB35 SBF1 SBF2"
30,6,0.9565,14.35,4017,0.003548,0.998474,"ACAT2 FDFT1 FDPS LSS MSMO1 SQLE"
31,5,0.8966,8.966,3456,0.002580,0.996692,"AFDN CDH1 CTNNA1 CTNND1 TAX1BP3"
32,5,0.8662,8.662,3634,0.002371,0.996692,"ACCS ACCSL CRY2 OR4B1 OR4X1"
33,4,0.8620,5.172,3168,0.001626,0.992931,"ACR ANHX RABL2B ZNF132"
34,4,0.8774,5.264,3122,0.001679,0.992931,"ACSF2 NME1 OR4D2 RSAD1"
35,6,0.8770,13.16,3255,0.004011,0.998474,"ACSL3 C12orf49 MBTPS1 SCAP SCD SREBF1"
36,10,0.8547,38.46,7854,0.004861,0.999933,"ABCC6 ACSM1 ACSM3 ACSM5 BFAR C16orf45 MPV17L MYH11 NOMO2 SCNN1B"
37,6,0.8723,13.09,4261,0.003053,0.998474,"EIF3E INTS8 MTERF3 POP1 RPL30 VIRMA"
38,6,0.8721,13.08,4710,0.002763,0.998474,"ACTR3B CPA1 EPHB6 PRSS37 RNF148 TAS2R60"
39,7,0.8759,18.39,5141,0.003556,0.999299,"ACVR1 BMPR1A IPO8 LRIG3 RGMB SMAD1 UBAC1"
40,8,0.8687,24.32,6231,0.003879,0.999679,"ACVRL1 AQP5 KRT1 KRT79 KRT82 KRT84 KRT86 OR10P1"
41,4,0.8809,5.286,3496,0.001506,0.992931,"ADA GGT7 GHRH LBP"
42,5,0.8655,8.655,4095,0.002104,0.996692,"ADAM18 ADAM2 ADAM32 RNF5 ZMAT4"
43,8,0.8650,24.22,6544,0.003678,0.999679,"ALDH3A1 ALOX15B ALOXE3 MYH4 SHBG TNFSF12 TNFSF13 VAMP2"
44,4,0.8553,5.132,3159,0.001618,0.992931,"ADAMTS15 ADAMTS8 KCNJ1 TMEM136"
45,4,0.8718,5.231,3074,0.001694,0.992931,"ADAMTSL4 CTSK FLG2 S100A6"
46,4,0.9135,5.481,2711,0.002012,0.992931,"ADAT2 ADAT3 RTCB TRMT61A"
47,4,0.9092,5.455,3146,0.001726,0.992931,"ADCY8 GSDMC KCNQ3 WISP1"
48,5,0.9043,9.043,4072,0.002211,0.996692,"ADAM2 ADAM32 ADGRA2 DDHD2 TNFRSF10A"
49,6,0.8548,12.82,4698,0.002715,0.998474,"ADGRF1 FBXO9 GSTA1 GSTA4 IL17A IL17F"
50,8,0.8581,24.03,6926,0.003449,0.999679,"ADGRG3 CES2 CES3 CES4A CMTM1 LCAT PLA2G15 TMED6"
51,7,0.8637,18.14,5631,0.003203,0.999299,"ABCC12 ADGRG5 C16orf78 CES1 CES3 CES5A IRX6"
52,6,0.8821,13.23,4372,0.003009,0.998474,"ADGRG7 OR5AC2 OR5H1 OR5H2 OR5K1 OR5K3"
53,8,0.8570,24.00,6257,0.003811,0.999679,"ADORA2A DGCR6L MIF MPPE1 RFPL3 SEC14L6 SEPT5 VPREB1"
54,5,0.8958,8.958,3178,0.002802,0.996692,"ADPGK NFE2L2 SLC33A1 SUCO TAPT1"
55,14,0.7566,68.85,1.143e+04,0.005971,0.999997,"ADAM2 ADAM32 ADRB3 AP3M2 CHRNA6 CHRNB3 DKK4 ERLIN2 NKX6-3 PLPP5 RNF170 RNF5 SLC20A2 STAR"
56,5,0.8779,8.779,2672,0.003263,0.996692,"ADSL DTYMK GMPS TFRC YRDC"
57,13,0.8684,67.73,7468,0.008958,0.999993,"ADSL ADSS ATIC DHFR DHODH FPGS GART GMPS MTHFD1 NAMPT PAICS PFAS PPAT"
