Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,7,0.8028,16.86,5456,0.003073,0.999299,"A1BG SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497"
2,4,0.7529,4.517,3132,0.001437,0.992931,"A1CF DUSP13 NUTM2A SFTPA2"
3,5,0.7651,7.651,3856,0.001975,0.996692,"A2M SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1"
4,22,0.6041,139.5,1.715e+04,0.008051,1.00000,"APOBEC3A APOBEC3D APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 FOXRED2 HMOX1 HORMAD2 HPS1 MIF RASD2 RFPL2 RFPL3 SEC14L3 SEC14L4 SEC14L6 SEPT5 SLC5A1 TRIOBP VPREB1"
5,12,0.7372,48.66,7664,0.006289,0.999986,"AAAS CDCA3 KPNA2 NDC1 NUP153 NUP188 NUP35 NUP37 NUP43 NUP50 POM121 POM121C"
6,24,0.7273,200.7,1.611e+04,0.01227,1.00000,"ACTR2 ACTR3 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
7,4,0.8420,5.052,3251,0.001548,0.992931,"AAED1 FBP2 GNA14 MUSK"
8,12,0.7607,50.20,7859,0.006329,0.999986,"AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 FCHO2 PICALM TFRC"
9,9,0.7561,27.22,7865,0.003441,0.999853,"AARD C8orf76 COL14A1 FBXO32 KLHL38 MTSS1 NOV SLC30A8 ZHX2"
10,5,0.7522,7.522,3571,0.002096,0.996692,"AARS SF3B3 SLC7A6OS TANGO6 UTP4"
11,79,0.5454,1680,5.503e+04,0.02954,1.00000,"AARS2 DAP3 EARS2 FARS2 GADD45GIP1 GATB GFM1 HARS2 KIAA0391 LARS2 LRPPRC MARS2 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL28 MRPL30 MRPL32 MRPL33 MRPL34 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL45 MRPL46 MRPL47 MRPL48 MRPL55 MRPL57 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS35 MRPS5 MRPS6 MTG2 MTPAP NARS2 NSUN4 PNPT1 POLG POLRMT PTCD1 PTCD3 QRSL1 RARS2 SARS2 SSBP1 SUPV3L1 TARS2 TFB2M TRMT10C TRUB2 TWNK VARS2"
12,4,0.8030,4.818,2486,0.001928,0.992931,"AASDHPPT ACACA ACLY FASN"
13,7,0.7837,16.46,4800,0.003407,0.999299,"AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 ZNF830"
14,6,0.7521,11.28,4807,0.002335,0.998474,"ABCA2 ENTPD2 FAM69B LCN15 LCN6 LCN8"
15,5,0.7570,7.570,4021,0.001874,0.996692,"ABCB11 CRYGA CRYGB CRYGC CRYGD"
16,11,0.7551,41.53,8745,0.004715,0.999969,"ABCB5 ADCYAP1R1 AGR2 AGR3 GHRHR HOXA5 HOXA6 HOXA7 HOXA9 NME8 NPY"
17,14,0.7548,68.68,1.054e+04,0.006458,0.999997,"ABCC6 ACSM3 ACSM5 C16orf45 ITGAD ITGAX MPV17L NOMO2 NPIPA5 NPIPB6 PKD1 SCNN1B SEPT1 SULT1A2"
18,14,0.7577,68.95,1.120e+04,0.006102,0.999997,"ABCC11 ABCC12 CES1 CES3 CES5A CLEC18A CMTM1 CPNE2 HSD11B2 IRX6 MT1A MT1F MT4 TMED6"
19,20,0.7088,134.7,1.157e+04,0.01147,1.00000,"ADSL ADSS ATIC DHFR DHODH FPGS GART GMPS IMPDH2 MTHFD1 MTR NAMPT PAICS PFAS PPAT PPCDC RFK RPIA SDHB UMPS"
20,7,0.7684,16.14,4833,0.003318,0.999299,"ABCE1 PSMA1 PSMA2 PSMA6 SMU1 SNRPD1 SNU13"
21,8,0.7607,21.30,5778,0.003662,0.999679,"ABCF1 DHX16 MRPS18B PPP1R10 PRPF4B RIOK1 TUBB4B WDR46"
22,4,0.7592,4.555,2777,0.001633,0.992931,"ABCF2 DRG1 HSPA14 ZC3H15"
23,5,0.7641,7.641,3685,0.002063,0.996692,"ABCF3 NFIA NFIB NFIC PTGES3"
24,7,0.7767,16.31,4778,0.003392,0.999299,"ABCG1 DUX4 HSPE1 OR2A25 RPL17 RPL37 RPS13"
25,8,0.7505,21.02,6180,0.003380,0.999679,"ABHD11 ASL CASTOR3 CLDN3 CYP3A5 TRIM50 TYW1 ZNF727"
26,16,0.7146,85.75,1.235e+04,0.006878,0.999999,"ABHD12 APMAP CST1 CST11 CST2 CST3 CST4 CST5 CST7 CST8 CST9 CST9L CSTL1 NANP NAPB ZNF337"
27,12,0.7668,50.61,9351,0.005369,0.999986,"ABHD14A ABHD14B GNAT1 IQCF1 IQCF2 IQCF3 IQCF5 ITIH3 ITIH4 MUSTN1 SEMA3G TLR9"
28,8,0.7840,21.95,6390,0.003415,0.999679,"ABHD3 CTIF DSG1 DSG3 DSG4 KIAA1328 ZNF396 ZNF397"
29,4,0.7854,4.713,3129,0.001500,0.992931,"ABHD5 BLCAP MARCH6 TMX1"
30,12,0.7268,47.97,7720,0.006156,0.999986,"ABI1 ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 BRK1 COMMD3 NCKAP1 RAC1 WASF2 WASL"
31,5,0.7522,7.522,3599,0.002080,0.996692,"ABL1 BCR GAB2 PTPN1 QRFP"
32,16,0.9543,114.5,1.022e+04,0.01105,0.999999,"ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 SCP2"
